Time,Text
2024-03-08 17:54:26,Call to place market order to buy 600000 shares of symbol FOREXCOM:EURUSD 
2024-03-08 17:15:38,Order 1213374187 for symbol FOREXCOM:EURUSD has been executed at price 1.09306 for 1100000 shares
2024-03-08 17:15:38,Order 1213375970 successfully cancelled
2024-03-08 16:32:03,Order 1213375970 successfully placed
2024-03-08 16:32:03,Order 1213374187 modification confirmed
2024-03-08 16:32:03,Modify position for symbol FOREXCOM:EURUSD with SL 1.09306 and TP 1.09432
2024-03-08 16:31:42,Order 1213375491 for symbol FOREXCOM:EURUSD has been executed at price 1.09344 for 100000 shares
2024-03-08 16:31:42,Order 1213375491 successfully placed
2024-03-08 16:31:42,Call to place market order to buy 100000 shares of symbol FOREXCOM:EURUSD 
2024-03-08 16:31:27,Order 1213374187 modification confirmed
2024-03-08 16:31:26,Modify position for symbol FOREXCOM:EURUSD with SL 1.09306
2024-03-08 16:30:43,Order 1213374187 successfully placed
2024-03-08 16:30:43,Modify position for symbol FOREXCOM:EURUSD with SL 1.09292
2024-03-08 16:30:39,Order 1213374078 for symbol FOREXCOM:EURUSD has been executed at price 1.09348 for 1000000 shares
2024-03-08 16:30:39,Order 1213374078 successfully placed
2024-03-08 16:30:39,Call to place market order to buy 1000000 shares of symbol FOREXCOM:EURUSD 
2024-03-07 22:40:49,Order 1209868450 for symbol BINANCE:BTCUSDT.P has been executed at price 67993.1 for 1.05 shares
2024-03-07 22:40:49,Order 1209867970 successfully cancelled
2024-03-07 21:15:32,Order 1211329401 for symbol FOREXCOM:EURUSD has been executed at price 1.08875 for 800000 shares
2024-03-07 21:15:32,Order 1211329717 successfully cancelled
2024-03-07 16:37:10,Order 1211329717 successfully placed
2024-03-07 16:37:10,Order 1211329401 modification confirmed
2024-03-07 16:37:10,Modify position for symbol FOREXCOM:EURUSD with SL 1.08877 and TP 1.09051
2024-03-07 16:36:59,Order 1211329401 successfully placed
2024-03-07 16:36:59,Modify position for symbol FOREXCOM:EURUSD with SL 1.08877
2024-03-07 16:36:54,Order 1211329162 for symbol FOREXCOM:EURUSD has been executed at price 1.08935 for 800000 shares
2024-03-07 16:36:50,Order 1211329162 successfully placed
2024-03-07 16:36:50,Call to place limit order to buy 800000 shares of symbol FOREXCOM:EURUSD at price 1.08935 
2024-03-06 23:19:53,Order 1209868450 successfully placed
2024-03-06 23:19:53,Order 1209867970 modification confirmed
2024-03-06 23:19:53,Modify position for symbol BINANCE:BTCUSDT.P with SL 65319.4 and TP 67991.6
2024-03-06 23:19:44,Order 1209867970 successfully placed
2024-03-06 23:19:44,Modify position for symbol BINANCE:BTCUSDT.P with SL 65319.4
2024-03-06 23:16:17,Order 1209853867 for symbol BINANCE:BTCUSDT.P has been executed at price 66243.9 for 0.5 shares
2024-03-06 23:16:17,Order 1209853867 successfully placed
2024-03-06 23:16:17,Call to place market order to buy 0.5 shares of symbol BINANCE:BTCUSDT.P 
2024-03-06 23:15:43,Order 1209851089 for symbol BINANCE:BTCUSDT.P has been executed at price 66218.2 for 1.1 shares
2024-03-06 23:15:43,Order 1209851089 successfully placed
